페이지,게시글번호,말머리,제목,내용,글쓴이,추천수,조회수,날짜,링크
2,6670,[일반],지금내상황,,ㅇㅇ 2025.12.28 12:26:44 스크랩 조회 310 추천 1 댓글 2,1,310,2025.12.28 12:26:44,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6670&page=2
2,6669,[일반],오늘 처음으로 평택고 가봤는데,왜이렇게 학교가 부실하냐 - dc official App,평붕이 (211.241) 2025.12.25 15:38:16 스크랩 조회 569 추천 0 댓글 2,0,569,2025.12.25 15:38:16,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6669&page=2
2,6668,[일반],메리크리스마스입니다,- dc official App,dasiima 2025.12.25 14:52:17 스크랩 조회 204 추천 0 댓글 2,0,204,2025.12.25 14:52:17,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6668&page=2
2,6667,[일반],오늘 무슨 날인지 알고 갤질하냐,오늘은 토라도라 보는날이다,어두운파인애플 2025.12.25 00:27:08 스크랩 조회 285 추천 2 댓글 1,2,285,2025.12.25 00:27:08,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6667&page=2
2,6665,[일반],무쌩겨써~,- dc official App,dasiima 2025.12.20 15:27:42 스크랩 조회 319 추천 1 댓글 4,1,319,2025.12.20 15:27:42,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6665&page=2
2,6664,[일반],평고 괜찮은거 맞나요,블븽이들 존나 많은것같은데 - dc official App,유우카남편 2025.12.17 22:32:53 스크랩 조회 530 추천 0 댓글 9,0,530,2025.12.17 22:32:53,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6664&page=2
2,6663,[일반],평고게이들아,왜 여기에는 체육복이 없노 - dc official App,평붕이 (211.241) 2025.12.17 18:48:06 스크랩 조회 390 추천 0 댓글 8,0,390,2025.12.17 18:48:06,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6663&page=2
2,6662,[질문],평붕이들아,친구가 평고 학교 좋다해서 지원했는데 무너지기 직전이냐 - dc official App,평붕이 (86.48) 2025.12.16 22:14:35 스크랩 조회 328 추천 1 댓글 3,1,328,2025.12.16 22:14:35,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6662&page=2
2,6660,[일반],이런건 무슨 취향임,- dc official App,dasiima 2025.12.15 19:43:19 스크랩 조회 386 추천 1 댓글 4,1,386,2025.12.15 19:43:19,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6660&page=2
2,6659,[일반],형님들인사드립니다,,평붕이 (118.235) 2025.12.15 17:41:48 스크랩 조회 314 추천 1 댓글 5,1,314,2025.12.15 17:41:48,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6659&page=2
2,6658,[일반],나 10년생인데,평고 커트라인 140정도라는데 꼴통힉교냐? - dc official App,평붕이 (106.101) 2025.12.13 17:01:17 스크랩 조회 436 추천 0 댓글 6,0,436,2025.12.13 17:01:17,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6658&page=2
2,6657,[일반],평고 원래 평고로 언제 돌아가냐?,모교가 그립구나,평붕이 (180.69) 2025.12.13 01:41:26 스크랩 조회 360 추천 0 댓글 1,0,360,2025.12.13 01:41:26,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6657&page=2
2,6656,[일반],:),,6o5 (211.234) 2025.12.04 08:26:54 스크랩 조회 334 추천 3 댓글 2,3,334,2025.12.04 08:26:54,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6656&page=2
2,6655,[일반],평게이들아 방송부에서 올린 ‘평택고에서’ 노래 내려감?ㅋㅋㅋ,유튜브 평택고 방송부에서 올린 ‘평택고에서‘ 이거 노래 듣고 평고 지원했는데 왜 영상 내려갔노......... 장범준 노래방에서 이 노래를 평택고에서로 바꿔서 방송부에서 올렸더만... 어디갔노....... 다시 올려줘 씨발,평붕이 (115.23) 2025.11.28 19:23:48 스크랩 조회 453 추천 0 댓글 1,0,453,2025.11.28 19:23:48,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6655&page=2
2,6654,[일반],평고 기숙사,커트라인은 194면 들어간다는사람도 있고 197이면 못들어간다는 의견이 있고 기숙사 하다가 힘들어서 나가는애들 많다는말도있고 경쟁률때문에 유지하기 빡세다는말도있고 대체 뭐가 맞말임???,평붕이 (39.7) 2025.11.22 15:32:42 스크랩 조회 625 추천 0 댓글 4,0,625,2025.11.22 15:32:42,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6654&page=2
2,6653,[일반],수능끝났으니까 달린다 ㅋㅋ,짤남 존나 사랑하면 개추 ㅋㅋ,ㅇㅇ (220.120) 2025.11.20 02:01:42 스크랩 조회 847 추천 23 댓글 5,23,847,2025.11.20 02:01:42,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6653&page=2
2,6652,[일반],수능 잘보세요 다들,현역이든 N수든 모두들 좋은 결과 받으시길 - dc official App,dasiima 2025.11.12 22:48:27 스크랩 조회 248 추천 2 댓글 2,2,248,2025.11.12 22:48:27,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6652&page=2
2,6651,[질문],형님들 평고 기숙사갈려는 중3입니다 답변부탁드립니다,"아직 기말 안보긴했는데 가내신 197초반이면 들어갈 수 있나요? (197초반이 못들어간적도 있나요?) 신입생도 반배치고사, 기숙사 시험 그런거 보나요? 기숙사 들어가서 계속 기숙사다니는거 유지하기 힘든가요?",평붕이 (180.229) 2025.11.10 00:19:40 스크랩 조회 576 추천 1 댓글 5,1,576,2025.11.10 00:19:40,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6651&page=2
2,6648,[일반],수능 2주 남았네요,날도 추운데 감기 조심하시고 공부 마무리 잘 하시길 - dc official App,dasiima 2025.10.30 19:59:05 스크랩 조회 266 추천 0 댓글 3,0,266,2025.10.30 19:59:05,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6648&page=2
2,6647,[일반],어나군생활100일남은평고6학년 진급예정자인데,질문받음.,ㅇㅇ 2025.10.27 19:27:52 스크랩 조회 477 추천 0 댓글 2,0,477,2025.10.27 19:27:52,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6647&page=2
2,6646,[일반],그런데 왜,담임 교체됨?,평붕이 (118.235) 2025.10.25 18:53:46 스크랩 조회 620 추천 0 댓글 8,0,620,2025.10.25 18:53:46,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6646&page=2
2,6644,[일반],건강검진 병원 어디임,안내지 받았는데 잃어버림 ㅅㅂ,ㅇㅇ (211.243) 2025.10.24 22:41:59 스크랩 조회 265 추천 0 댓글 0,0,265,2025.10.24 22:41:59,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6644&page=2
2,6637,[일반],김*근쌤…,사랑합니다❤ - dc official App,평붕이 (14.33) 2025.10.21 19:16:57 스크랩 조회 1433 추천 38 댓글 2,38,1433,2025.10.21 19:16:57,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6637&page=2
2,6636,[일반],나 신한고 다니는데,근육맛 쿠키같은 남자가 취향이다ㅎㅎ,ㅇㅇ (117.111) 2025.10.17 12:30:29 스크랩 조회 659 추천 0 댓글 1,0,659,2025.10.17 12:30:29,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6636&page=2
2,6635,[일반],안법고 그 ㅅㄲ,는 안부러우면 ㄱㅊ 줌마는 쉽지않노,평붕이 (122.40) 2025.10.13 22:00:35 스크랩 조회 1393 추천 13 댓글 4,13,1393,2025.10.13 22:00:35,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6635&page=2
2,6634,[일반],평중 내년 졸업하는데.,평고 내신 컷 어떤가요? 선생님들은 가고도 남는다는데 - dc official App,유우카남편 2025.10.08 23:10:51 스크랩 조회 447 추천 0 댓글 2,0,447,2025.10.08 23:10:51,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6634&page=2
2,6633,[일반],신한고 첩자인데,남친구하러옴 참고로 본인은 남자임ㅇㅇ,ㅇㅇ (117.111) 2025.10.08 20:36:48 스크랩 조회 356 추천 4 댓글 0,4,356,2025.10.08 20:36:48,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6633&page=2
2,6632,[질문],평고 VS 비전고,본인 남중다녀서 남녀공학 가고싶은데 부모님이 평고 동문회시기도 하고 평고가면 좋을거 같긴한데 남고기도 하고 내신 따기 뒤지게어려워서 정시로 가야한다는데 어캄? 참고로 집은 비전이랑 평고 둘다 가까움 평고 괜찮음? 학교도 새로 짓는다는데 그리고 평중도 이번에 이사하고 나서 공학됬다는데 평고는 그럴 가능성 아예없음?,한붕이 (112.156) 2025.10.04 17:21:38 스크랩 조회 1282 추천 13 댓글 8,13,1282,2025.10.04 17:21:38,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6632&page=2
2,6631,[일반],요즘,소문이 심상치 않다,평붕이 (211.234) 2025.10.03 19:29:51 스크랩 조회 591 추천 10 댓글 0,10,591,2025.10.03 19:29:51,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6631&page=2
2,6630,[일반],평고 공부 분위기 좋음?,ㄹㅇ 서울에 있는 공부잘하는 고등학교처럼 다 공부 열심히하는 그런 분위기임? 아니면 그냥 평범하게 노는애들도 있고 그런편임?,평붕이 (118.235) 2025.10.02 19:46:52 스크랩 조회 830 추천 3 댓글 1,3,830,2025.10.02 19:46:52,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6630&page=2
2,6629,[일반],1학년 그 ㅅㄲ,부러우면 ㄱㅊ ㅇㄷㄴㅂㅌ,평붕이 (122.40) 2025.09.29 22:03:49 스크랩 조회 1597 추천 27 댓글 8,27,1597,2025.09.29 22:03:49,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6629&page=2
2,6628,[일반],아는 동생 평고간다는데,자기가 평고 수학 기출 풀어보니까 절반도 못맞았다고 하는데 이친구 평고가면 잘 지낼수 있나요 영어랑 국어는 거의 노베인듯요 내신 198정도 돼서 기숙사 간다는데... 공부못하면 기숙사 퇴출되거나 그런것도 있으려나요,평붕이 (180.229) 2025.09.27 17:05:50 스크랩 조회 664 추천 3 댓글 3,3,664,2025.09.27 17:05:50,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6628&page=2
2,6623,[일반],평택고등학교를 꼭 다녀야하는 이유,안녕하세요 71기 현재 대전 카이스트 재학중인 학생입니다. 저는 1학년떄부터 빠짐 없이 야자를 했습니다. 그 결과가 빛을 내어 저는 현재 대전 카이스트 합격에 성공했습니다. 우리 자랑스러운 평택고등학교 후배분들 꼭 야자신청하시고 야자시간 잘 쪼개서 공부하시고 학교 선생님들 그리고 부모님 말씀 귀담아 들으며 열심히 3년 좆뺑이 치시길 바랍니다. 저의 수시성적은 2점 후반이었으나 저의 내신으로는 절대 카이스트를 갈 수 없었기에 수능파이터로 발을 돌렸습니다. 정확히 2학년 겨울방학부터 수능 준비했으며 기본기가 있어서 그런지 단 1년만에등급이 올랐습니다. 사교육을 받았으나 학교의 힘이 컸습니다. 자신이 평택에 사는 남자다. 그렇다면 묻고 따지지도 말고 평택고 입학해서 열심히 공부합시다. 평붕이 올림.,평붕이 (211.171) 2025.09.10 15:43:48 스크랩 조회 1556 추천 8 댓글 6,8,1556,2025.09.10 15:43:48,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6623&page=2
2,6622,[일반],평고 1학년,중학교 때 못쳐잡은 가오남 지금 다 잡는거냐? 걍 존나 한심하다는 생각밖에 안드는데,평붕이 (106.101) 2025.09.08 22:40:46 스크랩 조회 1248 추천 12 댓글 7,12,1248,2025.09.08 22:40:46,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6622&page=2
2,6621,[일반],야이 시발,가르쳐 주지도 않은 걸 수행으로 띄워놓으면 어케 하라는 거냐?,평붕이 (211.241) 2025.09.08 00:39:46 스크랩 조회 514 추천 4 댓글 0,4,514,2025.09.08 00:39:46,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6621&page=2
2,6619,[일반],평택고불합-남녀합반 전교 1등급-스카이 수석 ㅁㅌㅊ?,ㅁㅌㅊ?,ㅇㅇ (1.247) 2025.09.04 03:56:04 스크랩 조회 500 추천 4 댓글 0,4,500,2025.09.04 03:56:04,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6619&page=2
2,6618,[일반],내녀에 형간다,전교1등 간다 한쪽 귓방맹이 씻고 기다리고들 있어라 - dc official App,내신킹 2025.09.03 11:39:50 스크랩 조회 329 추천 0 댓글 0,0,329,2025.09.03 11:39:50,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6618&page=2
2,6617,[일반],'나 참.. 평고 급식에 먹을게 뭐가있다고...',"​""쨍그랑 ---!!!"" - dc official App",키사리메 2025.09.02 16:12:08 스크랩 조회 713 추천 3 댓글 1,3,713,2025.09.02 16:12:08,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6617&page=2
