게시글번호,말머리,제목,내용,글쓴이,추천수,조회수,날짜,링크
14551,[일반],이재명 강간짤,정확히는 계곡이긴 함 ㅇㅇ,aㅏ 2026.05.27 19:19:37 스크랩 조회 385 추천 5 댓글 2,5,385,2026.05.27 19:19:37,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14551&page=1
14548,[열람주의❗],ㄱㅅㅇ 풀발해서 주기적으로 방송 때리노,(ㅈ가오를 잡으며) 선풍이 틀고 창문 열고 지내세요 22도인데 에어컨 켜는건 너무하잖아????? -> 느그들 교무실 교장실 에어컨 풀파워는 말이 되고? 그저 ㄱㅅㅈ이 그립노!,오량인 (14.50) 2026.05.27 07:37:46 스크랩 조회 549 추천 12 댓글 2,12,549,2026.05.27 07:37:46,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14548&page=1
14547,[일반],이번 축제 컨셉뭐냐,"24년에 엑스포, 25년 워터밤이었는데 이번에 뭐일려나 개인적으로 워터밤 한번 더 해줬으면 좋겠음. 이건 오직 남고만 할 수 있는 컨셉임ㅇㅇ",오량인 (211.246) 2026.05.27 01:19:09 스크랩 조회 443 추천 0 댓글 3,0,443,2026.05.27 01:19:09,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14547&page=1
14550,[일반],필독,https://youtube.com/v/ou_QAoIfWpI?si=BQMQGMjvFuCXrCnv EP.01 에어컨 멤버십 가입 : https://www.youtube.com/channel/UCM5Ij_HwT8V6xPT9cRBFjJw/join youtube.com,오량인 (14.50) 2026.05.27 18:51:57 스크랩 조회 316 추천 4 댓글 1,4,316,2026.05.27 18:51:57,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14550&page=1
14549,[일반],교감,고트면 개추 ㅋㅋ,오량인 (104.28) 2026.05.27 13:58:20 스크랩 조회 359 추천 2 댓글 0,2,359,2026.05.27 13:58:20,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14549&page=1
14546,[일반],솔직히,"수업 다 3, 4층이라서 1 2층 에어컨 없어도 상관없는 나같은 게이들 있을텐데 조용히 개추 눌러볼까? 일단 나부터",오량인 (183.107) 2026.05.26 23:45:54 스크랩 조회 376 추천 16 댓글 0,16,376,2026.05.26 23:45:54,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14546&page=1
14543,[열람주의❗],ㄱㅅㅇ 방송 요약,화재대피훈련때도 봤겠지만 니들이 쩌죽든 말라죽든 알빠냐고 교무실이랑 교장실은 에어컨 빵빵하당께ㅋㅋㅋㅋ 학생들은 불만 가지지 말고 아가리 닫고 뒤지셈,오량인 (14.50) 2026.05.26 13:45:41 스크랩 조회 627 추천 24 댓글 5,24,627,2026.05.26 13:45:41,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14543&page=1
14542,[일반],도마랩보단 리빙켓이지,,오량인 (220.120) 2026.05.26 00:27:13 스크랩 조회 330 추천 6 댓글 0,6,330,2026.05.26 00:27:13,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14542&page=1
14545,[일반],쏜팡이,대신고에 쏜팡이 없나... 혼자 가기 시른데..,오량인 (106.101) 2026.05.26 22:06:59 스크랩 조회 343 추천 3 댓글 2,3,343,2026.05.26 22:06:59,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14545&page=1
14541,[일반],도마켓보단 리빙랩이지,왜 까는거노 ㅅ발 운영진 개고트니까 욕ㄴㄴ,오량인 (211.55) 2026.05.25 21:19:59 스크랩 조회 390 추천 5 댓글 3,5,390,2026.05.25 21:19:59,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14541&page=1
14539,[일반],도마켓,리빙랩보다 좋은건진 모르겠는데 이번에 팀에 예쁜 여자애들 많아서 행복하면 개추~,오량인 (223.62) 2026.05.25 13:12:30 스크랩 조회 312 추천 10 댓글 0,10,312,2026.05.25 13:12:30,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14539&page=1
14538,[일반],리빙랩 운영 욕하는 애들 특 이라는 글쓰는 애들 특,ㅈ빙랩 운영진 ㅋㅋㅋㅋㅋ,오량인 (223.39) 2026.05.25 11:24:54 스크랩 조회 422 추천 25 댓글 2,25,422,2026.05.25 11:24:54,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14538&page=1
14540,[일반],동아리떡밥 끝나니까 도리전이노,재밌으니까 계속 싸워다오,ㅇㅇ (221.158) 2026.05.25 14:43:20 스크랩 조회 362 추천 4 댓글 1,4,362,2026.05.25 14:43:20,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14540&page=1
14537,[일반],뭐냐 밖에서 조깅하는데 주딱이 뽀뽀해줌,사실 주딱이 안해줌 사실 누가 뽀뽀해준 적 없음 사실 조깅도 안함 사실 밖에도 안나감,오량인 (121.159) 2026.05.25 10:47:12 스크랩 조회 271 추천 5 댓글 0,5,271,2026.05.25 10:47:12,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14537&page=1
14535,[일반],리빙랩 vs 도마켓,개인적으로 올해 어떤게 더 나은거 같냐,오량인 (1.245) 2026.05.25 00:57:04 스크랩 조회 377 추천 2 댓글 7,2,377,2026.05.25 00:57:04,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14535&page=1
14536,[일반],리빙랩 운영 욕하는 애들 특,리빙랩 떨어짐,ㅇㅇ (106.101) 2026.05.25 10:26:14 스크랩 조회 297 추천 11 댓글 0,11,297,2026.05.25 10:26:14,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14536&page=1
14533,[일반],오늘 조심해야할것,1. 높은곳에 올라가지 않는다. 2. 시계를 차지 않는다. 3. 밤에 부엉이소리가 들리면 밖에 나가지 않는다. 4. 두부를 외상으로 사지 않는다. 5. 오래된 생각이 있다면 버린다. 6. 담배를 피지 않는다. 7. 부끄러움이나 수치심을 느껴서는 안된다. 8. 모자를 쓰고 자전거를 타지 않는다. (특히 챙이 넓은 모자거나 밀짚모자 9. 계란을 먹지 않은다. 10. 노란색의 옷을 입지 않는다.,오량인 (106.101) 2026.05.23 18:47:43 스크랩 조회 376 추천 12 댓글 0,12,376,2026.05.23 18:47:43,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14533&page=1
14534,[일반],주딱 뒤짐?,ㅇㅇ - dc official App,오량인 (118.235) 2026.05.24 06:45:34 스크랩 조회 394 추천 10 댓글 4,10,394,2026.05.24 06:45:34,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14534&page=1
14531,[일반],오만추입사지원용포토폴리오,이런개좆병신개버러지애니쳐빨지말라고,aㅏ 2026.05.23 01:25:32 스크랩 조회 540 추천 16 댓글 8,16,540,2026.05.23 01:25:32,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14531&page=1
14529,[일반],"아름다운.노을 사진. 한 장. 보고 가셔요,,~~",ㅍ,오량인 (110.9) 2026.05.23 00:44:55 스크랩 조회 351 추천 6 댓글 0,6,351,2026.05.23 00:44:55,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14529&page=1
14530,[일반],요즘핫한공연,https://www.youtube.com/watch?v=cMFd_rJvq8Q&t=773s523 (523지우고써),오량인 (110.9) 2026.05.23 00:47:29 스크랩 조회 355 추천 2 댓글 1,2,355,2026.05.23 00:47:29,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14530&page=1
14528,[일반],여기 일베있냐...,,ㅇㅇ 2026.05.23 00:41:00 스크랩 조회 320 추천 2 댓글 0,2,320,2026.05.23 00:41:00,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14528&page=1
14525,[열람주의❗],장미사이에 피어난 건물,"물리: ㅇㅎㄹ, ㅇㅇㄱ 사이에 ㅂㅎㅈ 화학: ㅇㄷㅎ, ㅂㅈㅇ 사이에 ㅂㅅㅎ",오량인 (110.70) 2026.05.22 01:09:30 스크랩 조회 382 추천 8 댓글 0,8,382,2026.05.22 01:09:30,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14525&page=1
14527,[일반],'그' 날이 와버렸따...,기대가 됩미노,오량인 (194.114) 2026.05.23 00:10:41 스크랩 조회 262 추천 3 댓글 0,3,262,2026.05.23 00:10:41,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14527&page=1
14524,[일반],선배가 나 좋아하는 거 같음,어그로ㅈㅅ 10들아 통과1 전체가 시험범위임? - dc official App,오량인 (149.88) 2026.05.21 22:10:43 스크랩 조회 528 추천 12 댓글 2,12,528,2026.05.21 22:10:43,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14524&page=1
14523,[일반],2학년 ㄱㅇㅈ,빵댕이 존나크면 개추 섹시함,오량인 (211.230) 2026.05.21 21:25:12 스크랩 조회 424 추천 13 댓글 0,13,424,2026.05.21 21:25:12,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14523&page=1
14522,[일반],대전과기대 돈 좀 있나보네,축제에서 폭주도 터뜨리고 - dc official App,오량인 (1.245) 2026.05.21 21:21:57 스크랩 조회 374 추천 2 댓글 2,2,374,2026.05.21 21:21:57,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14522&page=1
14521,[일반],ㄱㅎㅈ 학교에서 마주칠때마다 기분 개ㅈ같다,물론 3학년 ㄱㅎㅈ 말한 거임 오해 ㄴㄴ,오량인 (175.223) 2026.05.21 07:42:53 스크랩 조회 517 추천 7 댓글 1,7,517,2026.05.21 07:42:53,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14521&page=1
14520,[일반],졸업생인데,대신고 디시 왤케 천박해졌노 이기,오량인 (106.101) 2026.05.21 06:55:20 스크랩 조회 353 추천 2 댓글 1,2,353,2026.05.21 06:55:20,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14520&page=1
14519,[일반],파딱,그래서 누구냐?,오량인 (106.101) 2026.05.20 22:43:02 스크랩 조회 342 추천 1 댓글 4,1,342,2026.05.20 22:43:02,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14519&page=1
14518,[일반],방관잼vs천안문,니들은 뭐가 더 대마갤에 나은것같노 의견 ㄱㄱ,오량인 (203.253) 2026.05.20 18:22:18 스크랩 조회 322 추천 0 댓글 2,0,322,2026.05.20 18:22:18,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14518&page=1
14517,[일반],제발 부탁인데,나다 싶으면 제발 좀 처 씻어 하루종일 좆같은 냄새나서 살기가힘들다 진짜 토할거같으니까 나다 싶으면 제발 씻어 식초냄새랑 하수구냄새가 존나올라오는데 자기가 냄새나는걸 모르는건가 진짜 개민폐임 머리도좀 감아라 제발제발 고통스러워서 뒤질거같다,오량인 (14.50) 2026.05.20 11:27:58 스크랩 조회 530 추천 17 댓글 2,17,530,2026.05.20 11:27:58,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14517&page=1
14516,[일반],Gemini,왜 제미나이라 부르는지 이해가 안가네 Gem / min /i 이렇게 끊어서 잼민이라 해야지 - dc official App,오량인 (1.245) 2026.05.20 00:42:59 스크랩 조회 413 추천 5 댓글 1,5,413,2026.05.20 00:42:59,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14516&page=1
14510,[일반],2학년수행,ㅅㅂㅋㅋ 첫날에 다하자면 어쩌자는거임?,오량인 (211.230) 2026.05.17 22:00:16 스크랩 조회 648 추천 10 댓글 3,10,648,2026.05.17 22:00:16,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14510&page=1
14513,[열람주의❗],주딱 병신,"ㄹㅇ로일 안함, 갤 관리 안함, 뭐 뿌린 것도 없음 대마갤은 계속 추락중 진짜 무슨 거창한 이유 길래 늦게 된거냐? 이번 파딱 심사로 고라니에 대한 평가과 완전히 결판 날듯 plus.. 대마갤 처럼 고닉이 적은 곳에서 굳이 비호감 고닉을 파딱으로 새우는 것 만큼 자살골은 없다고 본다 - dc official App",오량인 (58.228) 2026.05.18 20:34:23 스크랩 조회 849 추천 22 댓글 18,22,849,2026.05.18 20:34:23,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14513&page=1
14512,[일반],더워,프잭실에도 에어컨 틀어줘 웅엥,오량인 (14.50) 2026.05.18 18:44:13 스크랩 조회 411 추천 5 댓글 3,5,411,2026.05.18 18:44:13,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14512&page=1
14509,[일반],주딱은 파딱결과를 공유해라✊+✊+✊+,,ㅇㅇ 2026.05.17 21:58:48 스크랩 조회 570 추천 3 댓글 5,3,570,2026.05.17 21:58:48,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14509&page=1
14508,[일반],이 사진 걍 널리 퍼트려라,(미디어 사진 6+),오량인 (106.101) 2026.05.17 18:58:56 스크랩 조회 498 추천 0 댓글 0,0,498,2026.05.17 18:58:56,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14508&page=1
14507,[일반],대마갤 특이하긴 함,"다른 갤러리 가면 주딱 파딱은 그냥 혐짤 지우개, 할카스 처리반, 갤러리의 노예 취급인데 대마갤만 이상하게 완장이 권력으로 인식되는 거 같음ㅇㅇ 저번에 ㅅㅁㅊ 사건때 완장질이라는 말이 나온 것도 그렇고 암튼 특이함 + ㅅㅁㅊ 사건 때 ㅅㅁㅊ이 지적한 고닉 언급 금지는 다른 갤러리가면 당연한 문화임 다른 마이너 갤러리에서 ""고닉 정리"" ㅇㅈㄹ하면 진짜 대환장 파티 일어남 ㅇㅇ 이유는 친목질 방지",오량인 (183.107) 2026.05.17 16:17:05 스크랩 조회 590 추천 11 댓글 4,11,590,2026.05.17 16:17:05,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14507&page=1
14506,[일반],4대천왕 장카설김,ㄱㅎㅈ쌤이 얘네보다 이쁨,ㅇㅇ (211.235) 2026.05.17 15:42:04 스크랩 조회 575 추천 15 댓글 1,15,575,2026.05.17 15:42:04,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14506&page=1
14499,[일반],5등급제 충남대,대전대신고에서 충대 공대갈려면 5등급제기준 몇등급 맞아야하나요,귀욤 (39.119) 2026.05.15 16:16:20 스크랩 조회 589 추천 0 댓글 3,0,589,2026.05.15 16:16:20,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14499&page=2
14500,[일반],적어도 교육감 투표는 만16세 고1까지 투표권 확장해야 함,교육제도 이상하게 바뀌는거에 학생들의 의견은 반영이 됐는가 -> NO 의견을 내려면 어떻게 해야하는가 -> 투표권 행사,ㅇㅇ (183.107) 2026.05.16 13:41:48 스크랩 조회 392 추천 14 댓글 1,14,392,2026.05.16 13:41:48,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14500&page=2
14504,[일반],1학년들중에,잘나가는 애가 없어보이노~~~~ - dc official App,오량인 (118.217) 2026.05.17 15:20:00 스크랩 조회 454 추천 0 댓글 2,0,454,2026.05.17 15:20:00,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14504&page=2
14497,[열람주의❗],복어를,복복복,오량인 (118.235) 2026.05.14 23:12:06 스크랩 조회 643 추천 19 댓글 0,19,643,2026.05.14 23:12:06,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14497&page=2
14502,[일반],5등급제,과기원 갈려면 몇등급정도면 될까요 생기부 괜찮다는 가정...,오량인 (211.36) 2026.05.17 00:10:33 스크랩 조회 455 추천 2 댓글 4,2,455,2026.05.17 00:10:33,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14502&page=2
14498,[일반],ㅅㅂ 제미나이 왜 서버 항상 터져있음?,뭘 하려고만 하면 항상 맨날 생리처터졌나 하나도 안되네 구글에 학교차원에서 지랄해줘야되는거아님?,aㅏ 2026.05.14 23:21:41 스크랩 조회 431 추천 9 댓글 1,9,431,2026.05.14 23:21:41,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14498&page=2
14503,[일반],과연 파딱은?,두구두구,오량인 (112.148) 2026.05.17 13:50:57 스크랩 조회 258 추천 0 댓글 0,0,258,2026.05.17 13:50:57,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14503&page=2
14496,[일반],교장쌤이 한밭고라 한거 같은데,한빛고입니다 참고 바람,오량인 (112.150) 2026.05.14 18:02:42 스크랩 조회 616 추천 4 댓글 0,4,616,2026.05.14 18:02:42,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14496&page=2
14491,[일반],5등급제 궁금한데,1.0 많음 ?? 졸업생이라 잘몰러,ㅇㅇ (218.147) 2026.05.14 01:25:39 스크랩 조회 403 추천 1 댓글 0,1,403,2026.05.14 01:25:39,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14491&page=2
14493,[일반],꼴리는데,야동 추천 좀,오량인 (222.108) 2026.05.14 14:49:56 스크랩 조회 596 추천 1 댓글 0,1,596,2026.05.14 14:49:56,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14493&page=2
14490,[일반],과기원,5등급제 과기원 1점대 후반이어도 쓸수있나,오량인 (118.235) 2026.05.13 20:29:18 스크랩 조회 532 추천 1 댓글 7,1,532,2026.05.13 20:29:18,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14490&page=2
14492,[일반],ㅅㅇㄷ 전킥 타면서 헬멧 안쓰냐,- dc official App,오량인 (106.101) 2026.05.14 10:28:35 스크랩 조회 797 추천 37 댓글 1,37,797,2026.05.14 10:28:35,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14492&page=2
14494,[일반],교장쌤,ㄹㅇ 개고트노,오량인 (106.101) 2026.05.14 17:41:26 스크랩 조회 476 추천 3 댓글 0,3,476,2026.05.14 17:41:26,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14494&page=2
14495,[일반],보건부스,운영 도와주던 친구 말 들어보니까 원 래 중앙 교정에서 하고있던거 교장이 거기는 자기 구경자리라고 니들이 여기 있으면 안된다면서 보건쌤이랑 애들 아래로 내쫒은 거라던데 다시보니 찬조 볼려고 한거였노ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,오량인 (218.150) 2026.05.14 17:57:43 스크랩 조회 587 추천 14 댓글 1,14,587,2026.05.14 17:57:43,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14495&page=2
14489,[일반],새벽에 올려보는거,시험 개처망해서 퀄리티 약간 터짐 양해좀,aㅏ 2026.05.13 00:36:05 스크랩 조회 559 추천 19 댓글 2,19,559,2026.05.13 00:36:05,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14489&page=2
14486,[일반],뭐라고? 12시에 비가 와서 학생들이 비를 맞으며 훈련을 할수도있다고?,알아.,오량인 (14.50) 2026.05.12 09:12:19 스크랩 조회 594 추천 5 댓글 1,5,594,2026.05.12 09:12:19,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14486&page=2
